GPU,nxe,tri_solve_ms,mat_vec_ms,fact_ms
"3060Ti",10,0.278,6.4e-3,0.806
"3060Ti",20,0.643,8.28e-3,1.751
"3060Ti",50,1.677,3.27e-2,4.305
"3060Ti",100,3.163,9.44e-2,9.037
"3060Ti",200,6.299,0.349,19.389
"3060Ti",300,10.087,0.774,29.157
"3060Ti",400,17.015,1.463,49.374
"A100",10,0.294,1.3e-2,0.893
"A100",20,0.642,0.0112,1.809
"A100",50,1.382,0.0157,4.395
"A100",100,3.208,0.03447,8.942
"A100",200,6.876,0.122,17.739
"A100",300,8.601,0.262,22.703
"A100",400,11.569,0.462,34.299
