mass=7.7448e+01 ksfail[0]=1.2131e+00
comp0	2.2330642589594905e-02
comp1	2.4597356638549145e-02
comp2	2.4806049448170088e-02
comp3	2.5142791604335999e-02
comp4	2.3898992714471056e-02
comp5	2.1151630906885134e-02
comp6	1.9316164783470428e-02
comp7	2.5678656651473390e-02
comp8	3.0140071580322812e-02
comp9	3.0761246262226840e-02
comp10	2.7284858167057533e-02
comp11	2.4171548775317984e-02
comp12	1.9278128179359012e-02
comp13	2.6928591828134545e-02
comp14	4.0870886557541834e-02
comp15	4.0488051580107792e-02
comp16	3.5292811053908711e-02
comp17	3.0116819968158435e-02
comp18	3.2934674998445129e-02
comp19	3.3885983007410317e-02
comp20	2.9887059896345193e-02
comp21	3.4009103348211410e-02
comp22	3.5358670884186913e-02
comp23	3.5145827560363781e-02
comp24	3.6095879750638965e-02
comp25	3.6492365749387218e-02
comp26	3.6677999378794582e-02
comp27	3.0152927674710707e-02
comp28	3.9125179688224987e-02
comp29	4.0226161474761268e-02
comp30	3.4604967492230340e-02
comp31	3.0156576635064873e-02
comp32	2.4597350684707479e-02
comp33	2.8583149074814455e-02
comp34	2.9648374175330651e-02
comp35	2.7739425819700882e-02
comp36	2.2458019665758947e-02
comp37	2.1487691582989580e-02
comp38	1.9812527428829461e-02
comp39	2.5804545072420724e-02
comp40	3.0457318759113276e-02
comp41	3.1257470504023506e-02
comp42	2.7778817356413302e-02
comp43	2.4100349192375487e-02
comp44	1.9841690528881257e-02
comp45	2.9389480957784972e-02
comp46	4.3946222971794707e-02
comp47	4.3653561422124731e-02
comp48	3.7827416646555194e-02
comp49	3.1342137794650601e-02
comp50	2.7077375965393592e-02
comp51	2.5735682121427361e-02
comp52	3.2392123321626401e-02
comp53	3.6304760724252358e-02
comp54	3.7194385152058945e-02
comp55	3.5519561604485425e-02
comp56	3.4758908164403954e-02
comp57	3.3616459942737438e-02
comp58	3.0934710392189216e-02
comp59	3.5832540788767700e-02
comp60	4.2165036455170023e-02
comp61	4.3425533116213021e-02
comp62	3.6617852789068664e-02
comp63	2.6807759520401504e-02
comp64	2.4806023802217980e-02
comp65	2.9648002943626014e-02
comp66	3.0567373608598462e-02
comp67	2.9383339077324933e-02
comp68	2.3282186095425976e-02
comp69	2.4363862581957853e-02
comp70	2.6700796450867953e-02
comp71	2.6948798838995286e-02
comp72	2.8280157421239949e-02
comp73	2.8842778130759916e-02
comp74	2.5677801870450431e-02
comp75	2.1797872091369030e-02
comp76	2.0945217473399409e-02
comp77	3.0100879002047207e-02
comp78	4.4330777392775307e-02
comp79	4.4116330560196551e-02
comp80	3.8401229380592150e-02
comp81	3.1598202499387815e-02
comp82	2.2508579661927423e-02
comp83	2.6044343137545726e-02
comp84	3.3742874211309490e-02
comp85	3.6945082216513624e-02
comp86	3.7273071962768245e-02
comp87	3.4512798136560580e-02
comp88	3.1188453390992698e-02
comp89	2.7545062440377310e-02
comp90	3.3196108649690886e-02
comp91	3.9161208537913918e-02
comp92	4.3728713057100778e-02
comp93	4.4952976437443087e-02
comp94	3.8172898408916120e-02
comp95	2.7288184453407624e-02
comp96	2.5142705062653956e-02
comp97	2.7739793306110250e-02
comp98	2.9383171974752660e-02
comp99	2.7476593920404080e-02
comp100	2.6627947554336742e-02
comp101	3.1530622050152890e-02
comp102	3.4230619527703093e-02
comp103	3.5227464754275420e-02
comp104	3.4616154373407530e-02
comp105	3.0153860228456085e-02
comp106	2.2907174882056784e-02
comp107	1.9847540368286114e-02
comp108	2.1961481767491031e-02
comp109	2.9864507999299340e-02
comp110	4.2761819929953322e-02
comp111	4.2329074055278360e-02
comp112	3.7356786274509689e-02
comp113	3.0719100723153325e-02
comp114	1.9717539293281676e-02
comp115	2.6958819960368412e-02
comp116	3.3831085922408355e-02
comp117	3.6483747383041380e-02
comp118	3.6237180708030697e-02
comp119	3.2910461339907125e-02
comp120	2.6852767975858317e-02
comp121	2.5630459889051355e-02
comp122	3.5861143170880586e-02
comp123	4.0843063071532626e-02
comp124	4.3886211698588945e-02
comp125	4.5063700399580277e-02
comp126	3.8899424346133575e-02
comp127	2.8026304293457659e-02
comp128	2.3899181474755015e-02
comp129	2.2458436421530226e-02
comp130	2.3282108536866030e-02
comp131	2.6627741485520273e-02
comp132	3.4197318032445904e-02
comp133	3.8664407882103874e-02
comp134	4.1208806559556999e-02
comp135	4.1678267117772852e-02
comp136	3.9605778880804160e-02
comp137	3.4253501323100018e-02
comp138	2.6080664441217323e-02
comp139	2.1744165818987599e-02
comp140	2.2675355500516782e-02
comp141	3.0654005660552746e-02
comp142	4.1392018444592227e-02
comp143	3.7828041573826840e-02
comp144	3.4291269962446795e-02
comp145	2.7501633472911721e-02
comp146	1.8587826532286581e-02
comp147	2.6782760981274915e-02
comp148	3.2727072601388088e-02
comp149	3.4590985772420320e-02
comp150	3.3480922395947361e-02
comp151	3.0587796956680992e-02
comp152	2.2327372109983697e-02
comp153	3.1861959489867482e-02
comp154	3.6951474913899308e-02
comp155	4.1005957875605806e-02
comp156	4.3339793103863711e-02
comp157	4.3989981853295994e-02
comp158	3.8744383467571059e-02
comp159	2.8280774589731029e-02
comp160	2.1151596092245685e-02
comp161	2.1489371955346410e-02
comp162	2.4365369519042633e-02
comp163	3.1531392228553161e-02
comp164	3.8664877299981935e-02
comp165	4.3524905367333992e-02
comp166	4.5571074005972920e-02
comp167	4.5369965263727989e-02
comp168	4.2137627210235243e-02
comp169	3.5890440626216345e-02
comp170	2.6809818462672500e-02
comp171	2.1986608716754976e-02
comp172	2.1659790784237125e-02
comp173	3.0689857414032361e-02
comp174	3.7461242932178028e-02
comp175	3.2383431856640013e-02
comp176	3.1172534103509574e-02
comp177	3.2668198761475892e-02
comp178	2.3907511650069765e-02
comp179	2.5512022961249940e-02
comp180	3.0594026979230193e-02
comp181	3.1604268474097648e-02
comp182	2.9173213089211801e-02
comp183	2.5225031846851251e-02
comp184	3.1201910591746054e-02
comp185	4.1490888256279515e-02
comp186	3.6335084940672203e-02
comp187	3.9221583055192986e-02
comp188	4.0469369216339153e-02
comp189	4.0744216846232230e-02
comp190	3.7384767110601194e-02
comp191	2.7204542385373644e-02
comp192	1.9316739812937668e-02
comp193	1.9813508247030733e-02
comp194	2.6704703692176885e-02
comp195	3.4229485137819385e-02
comp196	4.1207567475608713e-02
comp197	4.5570304170415972e-02
comp198	4.7014588074278676e-02
comp199	4.6350543293234008e-02
comp200	4.2428073126847300e-02
comp201	3.5831523149325091e-02
comp202	2.5468115882719328e-02
comp203	2.2143711507552521e-02
comp204	2.3578525159637598e-02
comp205	2.5676329646847480e-02
comp206	3.3772782877443459e-02
comp207	2.9846686142939588e-02
comp208	3.4751290398370160e-02
comp209	3.5177555141372066e-02
comp210	2.7985812729608043e-02
comp211	2.2622133445151495e-02
comp212	2.7663733997037504e-02
comp213	2.8051376743191758e-02
comp214	2.4067511032413825e-02
comp215	1.8916565439227203e-02
comp216	2.7238514220597462e-02
comp217	4.5350259129700053e-02
comp218	3.3675553933961898e-02
comp219	3.6454052061262343e-02
comp220	3.6733813940044685e-02
comp221	3.5370464906979079e-02
comp222	3.3004894458164478e-02
