mass=8.6011e+01 ksfail=1.0000e+00
comp0	3.0419220512266764e-02
comp1	3.2060142980153146e-02
comp2	3.1656736515969029e-02
comp3	3.1146106837391760e-02
comp4	3.0602282877913122e-02
comp5	2.8797128176879547e-02
comp6	2.7251429122349183e-02
comp7	3.0414074845550424e-02
comp8	3.2775562249248477e-02
comp9	3.2934946128721651e-02
comp10	3.1333970876511449e-02
comp11	2.8691403731994979e-02
comp12	2.4752402600102984e-02
comp13	2.8966465567745625e-02
comp14	3.4879120431865009e-02
comp15	4.6258731746038242e-02
comp16	5.1877232351137822e-02
comp17	3.7834777508903857e-02
comp18	3.8047817509198743e-02
comp19	3.9827582894048134e-02
comp20	5.4394941671790500e-02
comp21	5.5332448214726000e-02
comp22	5.6692232237403231e-02
comp23	6.0077950086644273e-02
comp24	4.0052108264695553e-02
comp25	2.2848130719341966e-02
comp26	3.3642198480930433e-02
comp27	3.9507086455902944e-02
comp28	3.9156407293630874e-02
comp29	5.7100557808577035e-02
comp30	7.4478092868962203e-02
comp31	7.9700347525657494e-02
comp32	3.2048252656423630e-02
comp33	3.5206056384693735e-02
comp34	3.5865740318606731e-02
comp35	3.3694530992850517e-02
comp36	2.9736686514764351e-02
comp37	2.9550994708917061e-02
comp38	2.8287833887181646e-02
comp39	3.0476152282163917e-02
comp40	3.3378825411767774e-02
comp41	3.3925199886143939e-02
comp42	3.2551859946569339e-02
comp43	2.9379260049311066e-02
comp44	2.6663921873569200e-02
comp45	3.3421900466244811e-02
comp46	3.8115908121965178e-02
comp47	3.8628681633877837e-02
comp48	3.6459258403024809e-02
comp49	3.1940568891604133e-02
comp50	2.5010483525534692e-02
comp51	2.8787244833785943e-02
comp52	3.9305467976136578e-02
comp53	3.9958479643121950e-02
comp54	4.0971117962696611e-02
comp55	4.0523135584693643e-02
comp56	3.2240109900252091e-02
comp57	2.0090196725637624e-02
comp58	1.9854999999999998e-02
comp59	1.9993026422026560e-02
comp60	2.0123043962789373e-02
comp61	5.4185305045316295e-02
comp62	7.0535147861148811e-02
comp63	7.7849434443998833e-02
comp64	3.1643274538535146e-02
comp65	3.5859234958187984e-02
comp66	3.6642250834148217e-02
comp67	3.5254338232300036e-02
comp68	3.0090948931502687e-02
comp69	3.2756038140232049e-02
comp70	3.3796082252288716e-02
comp71	3.2421023362432300e-02
comp72	3.0237604818543439e-02
comp73	3.1943095794467767e-02
comp74	3.1084593761857016e-02
comp75	2.8038750927363791e-02
comp76	2.8037083047559981e-02
comp77	3.5003044185839695e-02
comp78	3.9306687740364575e-02
comp79	3.9726415932060374e-02
comp80	3.7281635400892917e-02
comp81	3.2207878083167087e-02
comp82	2.3024330998915592e-02
comp83	3.0501228844348940e-02
comp84	3.6677700415871865e-02
comp85	3.9518436011641497e-02
comp86	3.8912640454617869e-02
comp87	3.7845582023948006e-02
comp88	3.2325273893995726e-02
comp89	1.9854999999999998e-02
comp90	1.9854999999999998e-02
comp91	2.3956969820666162e-02
comp92	2.4620038393035559e-02
comp93	4.0975422166865665e-02
comp94	6.2831770006873913e-02
comp95	7.1744526620858076e-02
comp96	3.1175973900236655e-02
comp97	3.3686914568405731e-02
comp98	3.5255815667715400e-02
comp99	3.3382059621622717e-02
comp100	3.4519870004875157e-02
comp101	3.8810787125048506e-02
comp102	4.0473912010666614e-02
comp103	3.9989935222209318e-02
comp104	3.6857613193297889e-02
comp105	3.1110814759466265e-02
comp106	2.6113645856063177e-02
comp107	2.4522155277491492e-02
comp108	2.8236531103401068e-02
comp109	3.4781083967004835e-02
comp110	3.8734367491928226e-02
comp111	3.8957176971202975e-02
comp112	3.6458446876116421e-02
comp113	3.1396711357158345e-02
comp114	2.1669980648605876e-02
comp115	3.1789380842346712e-02
comp116	3.7934287049960241e-02
comp117	4.0506521580365842e-02
comp118	3.9614422238712713e-02
comp119	3.6339931817344275e-02
comp120	3.0285703938877674e-02
comp121	2.3465735941133409e-02
comp122	3.0507322466597434e-02
comp123	3.3323112353308676e-02
comp124	2.9400813001792755e-02
comp125	2.3539679559025091e-02
comp126	5.5076866620749607e-02
comp127	6.0907932408192464e-02
comp128	3.0615315718296433e-02
comp129	2.9747874184709065e-02
comp130	3.0088258762642695e-02
comp131	3.4539313133073825e-02
comp132	4.0656027494075674e-02
comp133	4.4637668698688848e-02
comp134	4.6189749463884731e-02
comp135	4.5425336330135853e-02
comp136	4.1746725349664907e-02
comp137	3.5264549196671352e-02
